Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Life Cycle Status Type,Address,Finder ID,Identifier,In Language(s),Last Updated,Owned By/Offered By,Published By,Time Estimate(s),Occupation Code(s),Instructional Program Code(s),Delivery Type(s),Subject Webpage,Keywords,Financial Assistance,Requirements Description(s),Finder Detail Page,Registry URI,Required Credit,Estimated Cost(s),Estimated Cost Details
Resource,ce-b150886a-758a-4378-b0af-d8fb107fb7c8,ceterms:Course,Course,MICR-M 315 - Microbiology Laboratory,Audio-tutorial laboratory of exercises and demonstrations to yield proficiency in principles and techniques of cultivation and utilization of microorganisms under aseptic conditions.,Active,,289769,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 1:10 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289769,https://credentialengineregistry.org/resources/ce-b150886a-758a-4378-b0af-d8fb107fb7c8,,,
Resource,ce-a5f49933-3afe-471b-ae33-4dcd2fcb5436,ceterms:Course,Course,MATH-M 126 - Trigonometric Functions,"Designed to develop the properties of the trigonometric, exponential, and logarithmic functions and to prepare for course in calculus.",Active,,289702,"Typically Offered: Spring, Summer, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 1:09 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289702,https://credentialengineregistry.org/resources/ce-a5f49933-3afe-471b-ae33-4dcd2fcb5436,,,
Resource,ce-ffe80882-2f7c-4718-b32a-00be2b664db1,ceterms:Course,Course,MATH-M 311 - Calculus 3,"Elementary geometry of 2, 3, and n-space, functions of several variables, partial differentiation, minimum and maximum problems, multiple integration.",Active,,289679,"Typically Offered: Spring, Summer, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 1:08 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289679,https://credentialengineregistry.org/resources/ce-ffe80882-2f7c-4718-b32a-00be2b664db1,,,
Resource,ce-a72daaf3-1516-43bc-936b-2f5fd2c02973,ceterms:Course,Course,BUS-M 450 - Marketing Strategy,"Focuses on marketing's role in gaining a sustainable competitive advantage. Topics include competitor analysis, customer analysis, marketing environmental analysis, market potential analysis, and managing competitive interaction. Emphasis is on applications through the use of case studies and/or marketing game simulation of competitive interaction and the development of a strategic marketing plan.",Active,,289649,"Typically Offered: Spring, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 1:07 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289649,https://credentialengineregistry.org/resources/ce-a72daaf3-1516-43bc-936b-2f5fd2c02973,,,
Resource,ce-3770a841-ff8e-4a05-863c-3df717d128fe,ceterms:Course,Course,MATH-M 215 - Calculus I,"Limits, continuity, derivatives, definite and indefinite integrals, applications, techniques of integration, infinite series.",Active,,289484,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 1:01 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289484,https://credentialengineregistry.org/resources/ce-3770a841-ff8e-4a05-863c-3df717d128fe,,,
Resource,ce-9623c6ee-9b1c-441a-9dfe-ccb4047cfa55,ceterms:Course,Course,MATH-M 216 - Calculus II,"Limits, continuity, derivatives, definite and indefinite integrals, applications, techniques of integration, infinite series.",Active,,289482,"Typically Offered: Spring, Summer, Fall | Class Attributes: Transfer Indiana Initiative, Class uses IU eTexts",English,"Apr 9, 2025 1:01 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289482,https://credentialengineregistry.org/resources/ce-9623c6ee-9b1c-441a-9dfe-ccb4047cfa55,,,
Resource,ce-ec46ae9a-f49d-4986-9b62-046aca0620d8,ceterms:Course,Course,BUS-M 432 - Digital Marketing,Marketing in the digital age is markedly different than in the past. Students get a hands-on experience with critiquing and creating digital marketing strategies.,Active,,289479,Typically Offered: Spring,English,"Apr 9, 2025 1:01 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289479,https://credentialengineregistry.org/resources/ce-ec46ae9a-f49d-4986-9b62-046aca0620d8,,,
Resource,ce-7cdcfcdf-0211-4c49-af65-c2f365227a84,ceterms:Course,Course,MATH-M 118 - Finite Mathematics,"Sets, counting, basic probability, including random variables and expected values. Linear systems, matrices, linear programming, and applications.",Active,,289315,"Typically Offered: Spring, Summer, Fall | Class Attributes: Genl .Ed. - Quantitative Reasoning, Class uses IU eTexts",English,"Apr 9, 2025 12:56 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289315,https://credentialengineregistry.org/resources/ce-7cdcfcdf-0211-4c49-af65-c2f365227a84,,,
Resource,ce-a4ff1674-2856-4b51-a8f4-eec3730b7985,ceterms:Course,Course,BUS-M 426 - Sales Management,"Students will engage in an interactive exploration of the strategic and tactical issues important to managing a professional sales organization.  Key topics will include organizing a sales force, recruiting, training, compensation, motivation, forecasting, territory design, evaluation, and control. Lectures and case studies.",Active,,289308,Typically Offered: Spring | Class Attributes: Class uses IU eTexts,English,"Apr 9, 2025 12:56 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289308,https://credentialengineregistry.org/resources/ce-a4ff1674-2856-4b51-a8f4-eec3730b7985,,,
Resource,ce-831f81a8-a8d9-440a-b4f8-663f834cb2f6,ceterms:LearningOpportunityProfile,Learning Opportunity,Manufacturing Fundamentals (M-Powered)--Eden Prairie,M-Powered is a four part career training program designed to fast-track students into a entry-level manufacturing job and begins a life-long education and career track in manufacturing. This program is not accepting new students at this time. Please check back when registration reopens.,Active,13100 College View Dr.; Eden Prairie; Minnesota; 55347,1706,,English,"May 24, 2021 1:09 PM",Hennepin Technical College,Minnesota Department of Employment and Economic Development (DEED),,,,In-Person,https://www.hennepintech.edu/academic-programs/manufacturing-and-engineering-technology/manufacturing-engineering-technology/index.html,,,,https://credentialfinder.org/LearningOpportunity/1706,https://credentialengineregistry.org/resources/ce-831f81a8-a8d9-440a-b4f8-663f834cb2f6,,,
Resource,ce-37c3bfea-6e6a-4f13-a7f3-476a437248e0,ceterms:LearningOpportunityProfile,Learning Opportunity,Manufacturing Fundamentals (M-Powered)--Brooklyn Park,M-Powered is a four part career training program designed to fast-track students into a entry-level manufacturing job and begins a life-long education and career track in manufacturing. This program is not accepting new students at this time. Please check back when registration reopens.,Active,9000 Brooklyn Blvd.; Brooklyn Park; Minnesota; 55445,1705,,English,"May 24, 2021 1:09 PM",Hennepin Technical College,Minnesota Department of Employment and Economic Development (DEED),,,,In-Person,https://www.hennepintech.edu/academic-programs/manufacturing-and-engineering-technology/manufacturing-engineering-technology/index.html,,,,https://credentialfinder.org/LearningOpportunity/1705,https://credentialengineregistry.org/resources/ce-37c3bfea-6e6a-4f13-a7f3-476a437248e0,,,
Resource,ce-77dc93c8-e404-4590-b4a2-10b3c8549070,ceterms:Course,Course,HIM-M 390 - Medical Coding I,"This course gives Instruction in coding of diagnoses, diseases, signs, and symptoms, medical procedures and services provided in physician offices inpatient/outpatient hospitals, nursing facilities, laboratories, radiology/diagnostic imaging.  An overview of medical insurance programs and the skills needed to assign and link ICD-10-CM with CPT/HCPCS codes in correct format to submit to an insurance carrier for reimbursement providing medical necessity for services and procedures performed.",Active,,289116,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 12:51 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289116,https://credentialengineregistry.org/resources/ce-77dc93c8-e404-4590-b4a2-10b3c8549070,,,
Resource,ce-bff119cb-4a6e-4b9b-ba90-40414e859b65,ceterms:Course,Course,MATH-M 114 - Quantitative Literacy II,"This course uses problems solving and technology to introduce discrete math topics. Chosen from set theory, voting theory, scheduling and network theory, and probability and statistics.",Active,,289067,"Typically Offered: Spring | Class Attributes: Genl .Ed. - Quantitative Reasoning, Class uses IU eTexts",English,"Apr 9, 2025 12:49 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289067,https://credentialengineregistry.org/resources/ce-bff119cb-4a6e-4b9b-ba90-40414e859b65,,,
Resource,ce-84e3de72-43d2-4def-b79c-358582d21590,ceterms:Course,Course,HIM-M 391 - Medical Coding Ii,"This is a continuation of Medical Coding I in the practice application in the assignment of ICD-10-CM, CPT, and HCPCS codes.  This course will include additional instruction in the coding of anesthesia services, modifier placement, and the ability to abstract information from the medical record to select accurate codes.",Active,,289027,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 12:48 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289027,https://credentialengineregistry.org/resources/ce-84e3de72-43d2-4def-b79c-358582d21590,,,
Resource,ce-4ebda65b-db4d-4b00-b24b-8d97aea1f5ab,ceterms:Course,Course,MATH-M 110 - Excursions In Mathematics,"A course designed to convey the flavor and spirit of mathematics, stressing reasoning and comprehension rather than technique.  Not preparatory to other courses; explores topics in the theory of games and in properties of polyhedra.",Active,,289905,"Typically Offered: Spring, Summer, Fall | Class Attributes: Genl .Ed. - Quantitative Reasoning, Transfer Indiana Initiative, Class uses IU eTexts",English,"Apr 9, 2025 1:14 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289905,https://credentialengineregistry.org/resources/ce-4ebda65b-db4d-4b00-b24b-8d97aea1f5ab,,,
Resource,ce-036b0e79-9fb6-4129-b6b3-59710f15cb44,ceterms:Course,Course,EDUC-M 501 - Laboratory/Field Experience,A laboratory field experience in education for graduate students.,Active,,289890,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 1:14 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289890,https://credentialengineregistry.org/resources/ce-036b0e79-9fb6-4129-b6b3-59710f15cb44,,,
Resource,ce-3185d4ff-ffdd-40bd-9f8f-a4c624b464fa,ceterms:Course,Course,AHLT-M 394 - Healthcare Documentation Practicum,"Advanced medical transcription focusing on improving beginning skills to meet the demands of the workplace with emphasis on production, speed, and accuracy to produce a legal medical document.  Skills include legalities of the medical record, documentation requirements defined by the Health Insurance Portability and Accountability Act (HIPAA) as related to security, privacy, and confidentiality.  Students will experience the diversity of the Health Information Management department of any healthcare facility to recognize the various functions within that department and how they relate to each other.",Active,,289852,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 1:13 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289852,https://credentialengineregistry.org/resources/ce-3185d4ff-ffdd-40bd-9f8f-a4c624b464fa,,,
Resource,ce-fcd7f373-069b-4216-a8a7-e1008a1778a0,ceterms:Course,Course,MATH-M 125 - Pre-Calculus Mathematics,"Algebraic operations; polynomial, exponential, and logarithmic, functions and their graphs; conic sections; systems of equations; and inequalities.",Active,,289851,"Typically Offered: Spring, Summer, Fall | Class Attributes: Genl .Ed. - Quantitative Reasoning, Class uses IU eTexts",English,"Apr 9, 2025 1:13 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289851,https://credentialengineregistry.org/resources/ce-fcd7f373-069b-4216-a8a7-e1008a1778a0,,,
Resource,ce-2ac959b9-b3f2-46b0-96b5-92a69422bd5d,ceterms:Course,Course,MATH-M 380 - History Of Mathematics,"Brief study of the development of algebra and trigonometry; practical, demonstrative, and analytic geometry; calculus, famous problems, calculating devices; famous mathematicians and chronological outlines in comparison with outlines in the sciences, history, philosophy, and astronomy.",Active,,289811,Typically Offered: Spring | Class Attributes: Class uses IU eTexts,English,"Apr 9, 2025 1:11 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289811,https://credentialengineregistry.org/resources/ce-2ac959b9-b3f2-46b0-96b5-92a69422bd5d,,,
Resource,ce-b46e47eb-d4e0-481d-b257-4db83be695a7,ceterms:Course,Course,BUS-M 300 - Introduction To Marketing,Examination of the market economy and marketing institutions in the U.S. Decision making and planning from the manager's point of view; impact of marketing actions from the consumer's point of view.,Active,,289691,"Typically Offered: Spring, Summer, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 1:08 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289691,https://credentialengineregistry.org/resources/ce-b46e47eb-d4e0-481d-b257-4db83be695a7,,,
Resource,ce-c68a8348-7170-47f2-aa0b-2a160bfc11b1,ceterms:Course,Course,MATH-M 320 - Theory Of Interest,"Measurement of interest; accumulation and discount; equations of value; annuities; perpetuities; amortization and sinking funds; yield rates; bonds and other securities; installment loans; depreciation, depletion, and capitalized cost.",Active,,289478,Typically Offered: Spring,English,"Apr 9, 2025 1:01 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289478,https://credentialengineregistry.org/resources/ce-c68a8348-7170-47f2-aa0b-2a160bfc11b1,,,
Resource,ce-dc7f6cd3-8175-4e84-857f-1d7d80c56a84,ceterms:Course,Course,HIM-M 392 - Reimbursement For Physician Services,"This course will focus on regulatory bodies in healthcare (Centers for Medicare and Medicaid Services, Office of Inspector General), content, ownership, and legal aspects of medical records, licensure of medical personal.   Overview of medical insurance programs (Medicare, Medicaid, Workers Compensation, Tricare, Blue Cross/Blue Shield and commercial carriers), including reimbursement methodologies related to third party payers.  Overview of release of information principles, privacy and security standards as outlined by HIPAA.",Active,,289062,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 12:49 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289062,https://credentialengineregistry.org/resources/ce-dc7f6cd3-8175-4e84-857f-1d7d80c56a84,,,
Resource,ce-31c1de18-b522-46a8-81a4-49f8ca91639e,ceterms:Course,Course,MATH-M 102 - Topics In Algebra 5,This course covers radical expressions and equations and their applications.,Active,,289204,"Typically Offered: Spring, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 12:53 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289204,https://credentialengineregistry.org/resources/ce-31c1de18-b522-46a8-81a4-49f8ca91639e,,,
Resource,ce-d505abe4-0331-4db0-8b01-5af00078e209,ceterms:Course,Course,MATH-M 101 - Topics In Algebra 4,This course covers rational expressions and equations and their applications.,Active,,289199,"Typically Offered: Spring, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 12:53 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289199,https://credentialengineregistry.org/resources/ce-d505abe4-0331-4db0-8b01-5af00078e209,,,
Resource,ce-20e9f09f-b288-4582-ae01-6e322bd6e36b,ceterms:Course,Course,MUS-M 174 - Music For The Listener,"An introduction to the art of music and its materials; to symphonic music, opera, and other types of classical music; and to the works of the great composers. For the nonmajor.",Active,,289791,"Typically Offered: Spring, Summer, Fall | Class Attributes: Transfer Indiana Initiative",English,"Apr 9, 2025 1:11 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289791,https://credentialengineregistry.org/resources/ce-20e9f09f-b288-4582-ae01-6e322bd6e36b,,,
Resource,ce-0c7334cd-44b1-42a9-a171-1f9b2d568453,ceterms:Course,Course,MATH-M 463 - Introduction To Probability I,"Counting techniques, the meaning of probability.  Random experiments, conditional probability, independence.  Random variables, expected values and standard deviations, moment generating functions, important discrete and continuous distributions.  Poisson processes.  Multivariate distributions, basic limit laws such as the central limit theorem.",Active,,289720,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 1:09 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289720,https://credentialengineregistry.org/resources/ce-0c7334cd-44b1-42a9-a171-1f9b2d568453,,,
Resource,ce-36a27c12-65a4-464e-b530-1ddce98cbb4f,ceterms:Course,Course,MATH-M 129 - Business Algebra And Applications,"Designed to prepare students for mathematical problems they will encounter in business. Includes solving and graphing linear, nonlinear, quadratic, exponential and logarithmic functions. Real life modeling and applications from business and economics.",Active,,289715,"Typically Offered: Spring, Summer, Fall | Class Attributes: Genl .Ed. - Quantitative Reasoning, Class uses IU eTexts",English,"Apr 9, 2025 1:09 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289715,https://credentialengineregistry.org/resources/ce-36a27c12-65a4-464e-b530-1ddce98cbb4f,,,
Resource,ce-9b691e9b-6056-483e-9809-c43a8974ec8e,ceterms:Course,Course,MATH-M 366 - Elements Of Statistical Inference,"Introduction to statistical theory. Basic sampling distributions. Order statistics. Point estimation, maximum likelihood estimation, the Cramer-Rao bound, least squares method, confidence intervals, hypothesis-testing concepts, Neyman-Pearson lemma, likelihood ratio tests, linear models, large sample theory, contingency tables, goodness-of-fit tests.",Active,,289510,Typically Offered: Spring,English,"Apr 9, 2025 1:03 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289510,https://credentialengineregistry.org/resources/ce-9b691e9b-6056-483e-9809-c43a8974ec8e,,,
Resource,ce-64ffbf0c-61a0-4d16-b295-e3afb28d00cf,ceterms:Course,Course,MATH-M 303 - Linear Algebra For Undergraduates,"Introduction to the theory of real vector spaces. Coordinate systems, linear dependence, bases. Linear transformations and matrix calculus. Determinants and rank. Eigenvalues and eigenvectors.",Active,,289509,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 1:03 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289509,https://credentialengineregistry.org/resources/ce-64ffbf0c-61a0-4d16-b295-e3afb28d00cf,,,
Resource,ce-80f3390f-6ed6-4e10-a0f8-037065a6b85a,ceterms:Course,Course,MATH-M 413 - Introduction To Analysis 1,"Modern theory of real number system, limits, functions, sequences and series, Riemann-Stieltjes integral, and special topics.",Active,,289472,Typically Offered: Spring,English,"Apr 9, 2025 1:01 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289472,https://credentialengineregistry.org/resources/ce-80f3390f-6ed6-4e10-a0f8-037065a6b85a,,,
Resource,ce-b8554223-f62c-4ff6-8ccb-e75fe51618a8,ceterms:Course,Course,BUS-M 301 - Introduction To Marketing Management,Overview of marketing.  Marketing planning and decision-making examined from the firm's and consumer's viewpoints; marketing concept and its company-wide implications; integration of marketing with other functions of the firm; international aspects.,Active,,289462,"Typically Offered: Spring, Summer, Fall | Class Attributes: Class uses IU eTexts",English,"Apr 9, 2025 1:00 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289462,https://credentialengineregistry.org/resources/ce-b8554223-f62c-4ff6-8ccb-e75fe51618a8,,,
