Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Finder ID,Last Updated,Owned By/Offered By,Start Date,End Date,Acting Agent - Name,Acting Agent - URL,Instrument - Name,Instrument - URL,Evidence of Action,Object (Action Recipient) - Name,Object (Action Recipient) - URL,Object (Action Recipient) - Description,Object (Action Recipient) - Provider - Name,Object (Action Recipient) - Provider - URL,Finder Detail Page,Registry URI
Resource,ce-8c84377f-ab04-4535-8c5d-4c47dd2c59e0,CredentialingAction,Accredit Action,Certification for International Management Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",4965,"Aug 16, 2024 10:23 PM",Quality Matters,2020-04-17,2025-04-17,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,International Management,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/4965,https://credentialengineregistry.org/resources/ce-8c84377f-ab04-4535-8c5d-4c47dd2c59e0
Resource,ce-900a883f-a2aa-4c12-9090-65dc4051fcac,CredentialingAction,Accredit Action,Certification for Strategic Management Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",485,"Aug 16, 2024 10:18 PM",Quality Matters,2019-10-30,2024-10-30,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Strategic Management,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/485,https://credentialengineregistry.org/resources/ce-900a883f-a2aa-4c12-9090-65dc4051fcac
Resource,ce-c97add9a-328a-425b-a645-4c3857eea706,CredentialingAction,Accredit Action,Certification for Financial Management Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",4027,"Aug 16, 2024 10:12 PM",Quality Matters,2019-10-12,2024-10-12,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Financial Management,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/4027,https://credentialengineregistry.org/resources/ce-c97add9a-328a-425b-a645-4c3857eea706
Resource,ce-3d344c4f-d3cc-4ed5-b51e-cab0ef9390b5,CredentialingAction,Accredit Action,Certification for Population Health Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",4007,"Aug 16, 2024 10:12 PM",Quality Matters,2019-09-18,2024-09-18,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Population Health,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/4007,https://credentialengineregistry.org/resources/ce-3d344c4f-d3cc-4ed5-b51e-cab0ef9390b5
Resource,ce-13041889-40e8-4db1-b7de-32a8d6a81463,CredentialingAction,Accredit Action,Certification for International Investments Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",4005,"Aug 16, 2024 10:12 PM",Quality Matters,2020-02-20,2025-02-20,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,International Investments,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/4005,https://credentialengineregistry.org/resources/ce-13041889-40e8-4db1-b7de-32a8d6a81463
Resource,ce-7dab267c-3320-4f66-af82-98aa73487d61,CredentialingAction,Accredit Action,Certification for Community Nursing Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",375,"Aug 16, 2024 10:11 PM",Quality Matters,2019-09-13,2024-09-13,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Community Nursing,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/375,https://credentialengineregistry.org/resources/ce-7dab267c-3320-4f66-af82-98aa73487d61
Resource,ce-f28ca447-7c2d-48d0-8f8d-253b3b078518,CredentialingAction,Accredit Action,Certification for Software Engineering Course at Texas A & M University-Texarkana,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",374,"Aug 16, 2024 10:10 PM",Quality Matters,2019-09-20,2024-09-20,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Software Engineering,,,Texas A and M University-Texarkana,https://credentialfinder.org/organization/8699/Texas_A_and_M_University-Texarkana,https://credentialfinder.org/CredentialingAction/374,https://credentialengineregistry.org/resources/ce-f28ca447-7c2d-48d0-8f8d-253b3b078518
Resource,ce-6472e512-4d01-4859-a494-475e09837498,CredentialingAction,Accredit Action,Certification for MANAGERIAL ECONOMICS Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",384,"Aug 16, 2024 10:10 PM",Quality Matters,2019-09-03,2024-09-03,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,MANAGERIAL ECONOMICS,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/384,https://credentialengineregistry.org/resources/ce-6472e512-4d01-4859-a494-475e09837498
Resource,ce-4ba6cd25-498b-480f-a987-66c64dcd9525,CredentialingAction,Accredit Action,Certification for International Finance Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",3095,"Aug 16, 2024 10:06 PM",Quality Matters,2019-07-14,2024-07-14,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,International Finance,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/3095,https://credentialengineregistry.org/resources/ce-4ba6cd25-498b-480f-a987-66c64dcd9525
Resource,ce-08bb289e-9385-4582-977e-235bfde2a350,CredentialingAction,Accredit Action,Certification for Measurement & Evaluation Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",4783,"Aug 16, 2024 6:10 PM",Quality Matters,2023-09-12,2028-09-12,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Measurement & Evaluation,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/4783,https://credentialengineregistry.org/resources/ce-08bb289e-9385-4582-977e-235bfde2a350
